"Model","Threshold","Accuracy","Sensitivity","Specificity","Precision","F1"
NA,NA,NA,NA,NA,NA,NA
"Logistic","0.306083579622669","0.711","0.765","0.677","0.595","0.670"
"SVM","0.259609288506651","0.706","0.793","0.652","0.586","0.674"
"GBM","0.405344941327421","0.763","0.716","0.793","0.682","0.698"
"NeuralNetwork","0.390281659542129","0.728","0.738","0.721","0.622","0.675"
"Xgboost","0.499356836080551","0.733","0.617","0.805","0.662","0.638"
"Adaboost","0.5","0.740","0.547","0.860","0.708","0.617"
"LightGBM","0.413479745096913","0.777","0.735","0.803","0.698","0.716"
"CatBoost","0.600875911464111","0.738","0.711","0.755","0.643","0.675"
